frame,q1,q2,q3,q4,q5,q6,x,y,z,tilt
125,0.3075,0.3849,25.0574,-39.8880,0.0197,6.0168,106.1752,-31.4379,169.0812,59.7819
126,0.3354,0.4199,20.0626,-34.8778,0.0214,-0.2544,108.2006,-31.3741,173.8481,57.3787
127,0.0174,-0.0309,24.9526,-39.9757,-0.0066,6.2405,106.4144,-31.9651,169.7309,59.7590
128,0.0348,-0.0619,29.9052,-44.9514,-0.0132,12.4811,104.0462,-31.9312,165.1688,62.2481
129,0.0521,-0.0928,34.8578,-49.9271,-0.0199,18.7216,101.2943,-31.8985,160.8261,64.8138
130,0.0695,-0.1237,39.8104,-54.9028,-0.0265,24.9622,98.1787,-31.8676,156.7351,67.4209
131,0.0869,-0.1547,44.7630,-59.8785,-0.0331,31.2027,94.7224,-31.8389,152.9259,70.0373
132,0.1043,-0.1856,49.7156,-64.8542,-0.0397,37.4432,90.9506,-31.8125,149.4268,72.6335
133,0.1216,-0.2166,54.6682,-69.8299,-0.0464,43.6838,86.8910,-31.7889,146.2638,75.1824
134,0.1390,-0.2475,59.6208,-74.8056,-0.0530,49.9243,82.5734,-31.7684,143.4605,77.6587
135,0.1564,-0.2784,64.5733,-79.7813,-0.0596,56.1649,78.0295,-31.7512,141.0377,80.0387
136,0.1738,-0.3094,69.5259,-84.7571,-0.0662,62.4054,73.2929,-31.7374,139.0136,82.3002
137,0.1912,-0.3403,74.4785,-89.7328,-0.0729,68.6459,68.3984,-31.7273,137.4034,84.4223
138,0.2085,-0.3712,79.4311,-94.7085,-0.0795,74.8865,63.3820,-31.7209,136.2193,86.3857
139,-0.0279,-4.6339,80.0300,-95.0018,-6.6352,71.4660,66.6645,-28.0037,138.6922,89.6866
140,-0.0558,-9.2679,80.0599,-95.0036,-13.2704,67.9319,70.5173,-24.0652,142.2132,87.0268
141,-0.0837,-13.9018,80.0899,-95.0054,-19.9056,64.3979,73.8601,-20.2368,146.4059,85.5701
142,-0.1116,-18.5357,80.1198,-95.0073,-26.5408,60.8638,76.5890,-16.5696,151.1814,85.4112
143,-0.1395,-23.1696,80.1498,-95.0091,-33.1760,57.3298,78.6178,-13.1121,156.4326,86.5784
144,-0.1674,-27.8036,80.1797,-95.0109,-39.8112,53.7958,79.8805,-9.9099,162.0387,89.0297
145,-0.1953,-32.4375,80.2097,-95.0127,-46.4464,50.2617,80.3340,-7.0052,167.8686,87.3374
146,-0.2232,-37.0714,80.2396,-95.0145,-53.0816,46.7277,79.9597,-4.4362,173.7855,82.6654
147,-0.2511,-41.7053,80.2696,-95.0163,-59.7167,43.1936,78.7634,-2.2366,179.6522,77.1149
148,-0.2790,-46.3393,80.2995,-95.0181,-66.3519,39.6596,76.7758,-0.4354,185.3348,70.8481
149,-0.3069,-50.9732,80.3295,-95.0200,-72.9871,36.1255,74.0507,0.9438,190.7082,64.0183
150,-0.3348,-55.6071,80.3594,-95.0218,-79.6223,32.5915,70.6634,1.8830,195.6598,56.7659
151,-1.8632,-55.7108,79.9853,-94.9872,-79.9811,32.9342,71.4552,0.0294,196.0117,56.6613
152,-3.7265,-55.6872,79.9706,-94.9744,-79.9621,32.9227,72.4767,-2.3133,196.0053,56.6573
153,-5.5897,-55.6636,79.9559,-94.9617,-79.9432,32.9111,73.4214,-4.6886,195.9989,56.6533
154,-7.4530,-55.6399,79.9412,-94.9489,-79.9242,32.8996,74.2882,-7.0939,195.9925,56.6493
155,-9.3162,-55.6163,79.9264,-94.9361,-79.9053,32.8880,75.0763,-9.5267,195.9861,56.6453
156,-11.1794,-55.5927,79.9117,-94.9233,-79.8863,32.8765,75.7847,-11.9845,195.9796,56.6413
157,-13.0427,-55.5691,79.8970,-94.9105,-79.8674,32.8649,76.4126,-14.4645,195.9732,56.6373
158,-14.9059,-55.5455,79.8823,-94.8978,-79.8485,32.8534,76.9594,-16.9642,195.9668,56.6333
159,-16.7691,-55.5219,79.8676,-94.8850,-79.8295,32.8418,77.4244,-19.4809,195.9603,56.6293
160,-18.6324,-55.4982,79.8529,-94.8722,-79.8106,32.8302,77.8071,-22.0120,195.9539,56.6254
161,-20.4956,-55.4746,79.8382,-94.8594,-79.7916,32.8187,78.1071,-24.5547,195.9474,56.6214
162,-22.3589,-55.4510,79.8235,-94.8466,-79.7727,32.8071,78.3240,-27.1063,195.9409,56.6174
163,-24.2221,-55.4274,79.8087,-94.8339,-79.7537,32.7956,78.4575,-29.6642,195.9344,56.6135
164,-26.0853,-55.4038,79.7940,-94.8211,-79.7348,32.7840,78.5075,-32.2255,195.9280,56.6095
165,-27.9486,-55.3802,79.7793,-94.8083,-79.7158,32.7725,78.4739,-34.7877,195.9215,56.6056
166,-29.8118,-55.3566,79.7646,-94.7955,-79.6969,32.7609,78.3566,-37.3478,195.9150,56.6017
167,-31.6750,-55.3329,79.7499,-94.7827,-79.6780,32.7494,78.1559,-39.9033,195.9085,56.5977
168,-33.5383,-55.3093,79.7352,-94.7699,-79.6590,32.7378,77.8718,-42.4514,195.9020,56.5938
169,-35.4015,-55.2857,79.7205,-94.7572,-79.6401,32.7262,77.5046,-44.9894,195.8954,56.5899
170,-37.2648,-55.2621,79.7058,-94.7444,-79.6211,32.7147,77.0547,-47.5145,195.8889,56.5860
171,-39.1280,-55.2385,79.6911,-94.7316,-79.6022,32.7031,76.5225,-50.0241,195.8824,56.5821
172,-40.9912,-55.2149,79.6763,-94.7188,-79.5832,32.6916,75.9086,-52.5155,195.8758,56.5782
173,-42.8545,-55.1912,79.6616,-94.7060,-79.5643,32.6800,75.2136,-54.9860,195.8693,56.5743
174,-44.7177,-55.1676,79.6469,-94.6933,-79.5454,32.6685,74.4382,-57.4330,195.8627,56.5704
175,-45.0228,-55.7883,79.9505,-95.1518,-80.0096,32.8957,73.9942,-57.4837,195.9969,56.5103
176,-45.0455,-55.8422,79.9009,-95.3036,-80.0193,32.8456,73.9577,-57.4971,195.9756,56.3558
177,-45.0683,-55.8961,79.8514,-95.4555,-80.0289,32.7956,73.9212,-57.5107,195.9542,56.2017
178,-45.0073,-55.7687,79.9293,-94.9607,-79.8729,33.0063,74.0888,-57.5577,196.0658,56.6084
179,-45.0146,-55.8030,79.8586,-94.9214,-79.7459,33.0669,74.1467,-57.6449,196.1139,56.5516
180,-45.0219,-55.8374,79.7879,-94.8822,-79.6188,33.1274,74.2044,-57.7321,196.1623,56.4949
181,-43.1354,-55.7546,79.9876,-95.0163,-79.9777,32.9588,74.8262,-55.0584,196.0234,56.6429
182,-41.2708,-55.7749,79.9751,-95.0325,-79.9554,32.9718,75.5432,-52.6215,196.0286,56.6205
183,-39.4063,-55.7951,79.9627,-95.0488,-79.9331,32.9848,76.1809,-50.1623,196.0338,56.5980
184,-37.5417,-55.8153,79.9502,-95.0651,-79.9109,32.9978,76.7385,-47.6834,196.0391,56.5756
